rank,tourney,prize,game
1.	,The International 2018	,$25532177.00,	Dota 2	 		
2.	,The International 2017	,$24687919.00,	Dota 2	 		
3.	,The International 2016	,$20770460.00,	Dota 2	 		
4.	,The International 2015	,$18429613.05,Dota 2	 		
5.	,The International 2014	,$10931103.00,	Dota 2	 		
6.	,LoL 2018 World Championship	,$6450000.00,	League of Legends	 		
7.	,LoL 2016 World Championship	,$5070000.00,	League of Legends	 		
8.	,LoL 2017 World Championship	,$4946969.00,	League of Legends	 		
9.	,Fortnite Fall Skirmish Series - Clubs Standings	,$4000000.00,	Fortnite	 		
10.	,DAC 2015	,$3057521.00,	Dota 2	 		
11.	,The Boston Major 2016	,$3000000.00,	Dota 2	 		
12.	,The Frankfurt Major 2015	,$3000000.00,	Dota 2	 		
13.	,The Kiev Major 2017	,$3000000.00,	Dota 2	 		
14.	,The Manila Major 2016	,$3000000.00,	Dota 2	 		
15.	,The Shanghai Major 2016	,$3000000.00,	Dota 2	 		
16.	,The International 2013	,$2874381.00,	Dota 2	 		
17.	,Smite World Championship 2015	,$2612259.00,	SMITE	 		
18.	,Halo World Championship 2016	,$2500000.00,	Halo 5: Guardians	 		
19.	,LoL 2014 World Championship	,$2130000.00,	League of Legends	 		
20.	,LoL 2015 World Championship	,$2130000.00,	League of Legends	 		
21.	,LoL Season 3 World Championship	,$2050000.00,	League of Legends	 		
22.	,Call of Duty XP Championship 2016,	$2000000.00,	Call of Duty: Black Ops III	 		
23.	,LoL Season 2 World Championship	,$2000000.00,	League of Legends	 		
24.	,Six Invitational 2019	,$2000000.00,	Rainbow Six Siege	 		
25.	,Fortnite Fall Skirmish Series - Week 6 - Grand Finals	,$1942500.00,	Fortnite	 		
26.	,Overwatch League - Season 1 Playoffs	,$1700000.00,	Overwatch	 		
27.	,Mid-Season Invitational 2017	,$1690000.00,	League of Legends	 		
28.	,Fortnite Summer Skirmish Series - Week 8	,$1676250.00,	Fortnite	 	 	
29.	,The International 2011,	$1600000.00,	Dota 2	 		
30.	,The International 2012	,$1600000.00,	Dota 2	 		
31.	,CWL Championship 2017	,$1525000.00,	Call of Duty: Infinite Warfare	 		
32.	,China Dota2 Supermajor 2018	,$1500000.00,	Dota 2	 		
33.	,CWL Championship 2018	,$1500000.00,	Call of Duty: World War II	 		
34.	,WESG 2016 (CS:GO)	,$1500000.00,	Counter-Strike: Global Offensive	 		
35.	,WESG 2016 (Dota 2)	,$1500000.00,	Dota 2	 		
36.	,WESG 2017 (CS:GO Male),	$1500000.00,	Counter-Strike: Global Offensive	 		
37.	,WESG 2017 (Dota 2)	,$1500000.00,	Dota 2	 		
38.	,ELEAGUE Season 1	,$1410000.00,	Counter-Strike: Global Offensive	 		1
39.	,Mid-Season Invitational 2018,	$1370520.00,	League of Legends	 		
40.	,Shadowverse World Grand Prix 2018,	$1310000.00,	Shadowverse	 	 	
41.	,Overwatch League - Season 1 Regular Season	,$1300000.00,	Overwatch	 		
42.	,ELEAGUE Season 2	,$1100000.00,	Counter-Strike: Global Offensive	 		
43.	,2017 Las Vegas eRace	,$1000000.00,	rFactor 2	 	 	
44.	,BlizzCon 2016 (Hearthstone),	$1000000.00,	Hearthstone	 	 	
45.	,Call of Duty Championship 2013	,$1000000.00,	Call of Duty: Black Ops 2	 		
46.	,Call of Duty Championship 2014	,$1000000.00,	Call of Duty: Ghosts	 		
47.	,Call of Duty Championship 2015	,$1000000.00,	Call of Duty: Advanced Warfare	 		
48.	,Call of Duty XP	,$1000000.00,	Call of Duty: Modern Warfare 3	 		
49.	,DAC 2018	,$1000000.00,	Dota 2	 		
50.	,DreamLeague Season 11,	$1000000.00,	Dota 2	 		
51.	,ELEAGUE CS:GO Premier 2017	,$1000000.00,	Counter-Strike: Global Offensive	 		
52.	,ELEAGUE CS:GO Premier 2018	,$1000000.00,	Counter-Strike: Global Offensive	 		
53.	,ELEAGUE Major 2017	,$1000000.00,	Counter-Strike: Global Offensive	 		
54.	,ELEAGUE Major: Boston 2018	,$1000000.00,	Counter-Strike: Global Offensive	 		
55.	,EPICENTER XL	,$1000000.00,	Dota 2	 		
56.	,ESL One Birmingham 2018	,$1000000.00,	Dota 2	 		
57.	,ESL One Hamburg 2017	,$1000000.00,	Dota 2	 		
58.	,ESL One Katowice 2018 (Dota 2)	,$1000000.00,	Dota 2	 		
59.	,ESL One: Cologne 2016,	$1000000.00,	Counter-Strike: Global Offensive	 		
60.	,FACEIT Major: London 2018	,$1000000.00,	Counter-Strike: Global Offensive	 		
61.	,Halo World Championship 2017	,$1000000.00,	Halo 5: Guardians	 		
62.	,Halo World Championship 2018	,$1000000.00,	Halo 5: Guardians	 		
63.	,Hearthstone World Championship 2017,	$1000000.00,	Hearthstone	 	 	
64.	,Hearthstone World Championship 2019,	$1000000.00,	Hearthstone	 	 	
65.	,HGC 2016 - Fall Finals,	$1000000.00,	Heroes of the Storm	 		
66.	,HGC 2017 Global Finals	,$1000000.00,	Heroes of the Storm	 		
67.	,HGC 2018 Global Finals	,$1000000.00,	Heroes of the Storm	 		
68.	,Honor of Kings Champion Cup Summer 2018,	$1000000.00,	Arena of Valor	 		
69.	,IEM XIII - Katowice 2019 (CS:GO Major),	$1000000.00,	Counter-Strike: Global Offensive	 		
70.	,Intel Grand Slam Season 1	,$1000000.00,	Counter-Strike: Global Offensive	 		
71.	,MDL Changsha Major 2018	,$1000000.00,	Dota 2	 		
72.	,MLG Major Championship: Columbus 2016,	$1000000.00,	Counter-Strike: Global Offensive	 		
73.	,Mythic Invitational	,$1000000.00,	Magic: The Gathering Arena	 	 	
74.	,PGL Major Kraków 2017,	$1000000.00,	Counter-Strike: Global Offensive	 		
75.	,PUBG Global Invitational 2018 (FPP),	$1000000.00,	PLAYERUNKNOWN’S BATTLEGROUNDS	 		
76.	,PUBG Global Invitational 2018 (TPP),	$1000000.00,	PLAYERUNKNOWN’S BATTLEGROUNDS	 		
77.	,ROG DreamLeague Season 8	,$1000000.00,	Dota 2	 		
78.	,Smite World Championship 2016,	$1000000.00,	SMITE	 		
79.	,Smite World Championship 2017	,$1000000.00,	SMITE	 		
80.	,The Bucharest Major 2018	,$1000000.00,	Dota 2	 		
81.	,The Chongqing Major 2019	,$1000000.00,	Dota 2	 		
82.	,The Kuala Lumpur Major 2018,	$1000000.00,	Dota 2	 		
83.	,CrossFire Stars 2018	,$900000.00,	CrossFire	 		
84.	,WESG 2018 (CS:GO Male)	,$890000.00,	Counter-Strike: Global Offensive	 		
85.	,WESG 2018 (Dota 2)	,$890000.00,	Dota 2	 		
86.	,CFS 2017	,$850000.00,	CrossFire	 		
87.	,Smite World Championship 2018,	$785000.00,	SMITE	 		
88.	,Esports Championship Series Season 1 - Finals,	$765000.00,	Counter-Strike: Global Offensive	 		
89.	,ESL Pro League S5 Finals	,$750000.00,	Counter-Strike: Global Offensive	 		
90.	,ESL Pro League Season 6 Finals	,$750000.00,	Counter-Strike: Global Offensive	 		
91.	,ESL Pro League Season 7 - Finals,	$750000.00,	Counter-Strike: Global Offensive	 		
92.	,ESL Pro League Season 8 - Finals,	$750000.00,	Counter-Strike: Global Offensive	 		
93.	,Fortnite Fall Skirmish Series - Week 6 - Stream-Vitational,	$730000.00,	Fortnite	 	 	
94.	,2018 CWL Pro League Stage 1	,$700000.00,	Call of Duty: World War II	 		
95.	,2018 CWL Pro League Stage 2	,$700000.00,	Call of Duty: World War II	 		
96.	,CWL 2017 - Global Pro League Stage 1	,$700000.00,	Call of Duty: Infinite Warfare	 		
97.	,CWL 2017 - Global Pro League Stage 2	,$700000.00,	Call of Duty: Infinite Warfare	 		
98.	,Dota2 Professional League Season 2 - Top	,$700000.00,	Dota 2	 		
99.	,WCS 2017 Global Finals	,$700000.00,	StarCraft II	 	 	
100.,	WCS 2018 Global Finals,	$700000.00,	StarCraft II	 	 	
